僢	そむ.く むかいあ.う ま.じる
僣	せん.する おご.る
僤	はや.い あつ.い あき.らか ゆ.るぐ
僥	
僦	か.りる おく.る あつ.まる
僧	
僨	たお.れる お.ちる やぶ.る
僩	たけだけ.しい
僭	せん.する おご.る
僮	しもべ わらべ
僯	はじ.る
僱	やと.う
僲	
僳	
僵	たお.れる
僶	つと.める
價	あたい
僺	なが.い
僻	へき.する ひが.む
僾	ほの.か かく.れる むせ.ぶ かな.しむ
儀	
儁	すぐ.れる
儂	わし かれ
儃	たたず.む よう.す ほしいまま
億	
儆	いまし.める
儇	かしこ.い あざむ.く さとい まと.う
儈	なかがい
儉	つま.しい つづまやか
儋	にな.う こがめ
儌	ゆ.く うかが.う もと.める いつわ.る
儍	
儎	の.せる
儐	すす.める うやま.う あいさつ
儒	
儔	ともがら
儕	ともがら
儖	
儗	なぞら.える くら.べる
儘	まま ことごとく
儙	ひら.く
儚	はかな.い くら.い
儛	ま.う ま.わす
儜	なや.む よわ.い
儝	まつ
儞	なんじ しかり その のみ おれ
償	つぐな.う
儡	
儣	
儧	あつ.める あつ.まる
儨	ただ.しい
優	やさ.しい すぐ.れる まさ.る
儬	
儭	いた.る ちか.い おそ.れる うら しく
儯	なが.い
儱	できあ.がらない うやむや
儲	もう.ける もう.かる もうけ たくわ.える
儳	ととのわぬ はや.い わる.い
儴	よ.る さまよ.う
儵	はや.い
儷	つれあい ならぶ
儸	さば.く
儹	あつ.める あつ.まる
儺	おにやらい
儻	あるいは すぐ.れる もし
儼	いかめ.しい おごそか
儿	がい
兀	
允	じょう まこと.に ゆるす
兂	かんざし
元	もと
兄	あに
充	あ.てる み.たす
兆	きざ.す きざ.し
兇	おそ.れる わる.い
先	さき ま.ず
光	ひか.る ひかり
兊	よろこ.ぶ
克	か.つ
兌	よろこ.ぶ
免	まぬか.れる まぬが.れる
兎	うさぎ
兏	なが.い おさ
児	こ -こ -っこ
兒	こ
兓	するど.い たす.ける
兔	うさぎ
兕	
兗	くく.る ただ.しい まこと
兘	はじ.める はじ.まる
党	なかま むら
兜	かぶと
兟	すす.む
兠	
兢	おそ.れる つつ.しむ
兤	あか.るい
入	い.る -い.る -い.り い.れる -い.れ はい.る
兦	な.い ほろ.びる ほろ.ぶ ほろ.ぼす
全	まった.く すべ.て
兩	ふたつ
兪	しかり
八	や や.つ やっ.つ よう
公	おおやけ
六	む む.つ むっ.つ むい
兮	
共	とも とも.に -ども
关	
兵	つわもの
其	それ その
