六	ロク リク
兮	ケイ
共	キョウ
关	
兵	ヘイ ヒョウ
其	キ ギ ゴ
具	グ
典	テン デン
养	
兼	ケン
兾	キ
冀	キ
冂	キョウ ケイ
冃	ボウ モウ
冄	ゼン ネン
内	ナイ ダイ
円	エン
冉	ゼン ネン
冊	サツ サク
冋	キョウ ケイ
册	サツ サク
再	サイ サ
冎	カ ケ
冏	ケイ キョウ ソウ
冐	ボウ
冑	チュウ
冒	ボウ
冓	コウ
冕	ベン メン
冖	ベキ
冗	ジョウ
冘	イン ユ
写	シャ ジャ
冝	ギ
冠	カン
冡	ボウ モ
冢	チョウ
冣	サイ シュ
冤	エン
冥	メイ ミョウ
冦	コウ
冨	フ フウ
冩	シャ
冪	ベキ
冫	ヒョウ
冬	トウ
冭	タイ タツ タチ タ
冰	ヒョウ
冱	ゴ コ
冲	チュウ
决	ケチ ケツ
冴	ゴ コ
况	キョウ
冶	ヤ
冷	レイ
冸	ハン
冺	ビン ベン ミン メン
冼	ショウ
冽	レツ レイ
冾	キョウ
冿	セン
凂	バイ
凃	
凄	セイ サイ
凅	コ カク
准	ジュン
凈	ソウ ショウ
凉	リョウ
凊	セイ シャウ
凋	チョウ
凌	リョウ
凍	トウ
减	ゲン
凑	ソウ
凒	ギ ゲ カイ
凓	リツ リチ
凕	ベイ ミョウ
凖	ジュン
凘	シ セイ サイ
凛	リン
凜	リン
凝	ギョウ
凞	キ
几	キ
凡	ボン ハン
凢	ボン ハン
凥	キョ コ
処	ショ
凧	
凩	
凪	
凭	ヒョウ ヘイ
凮	フウ フ
凰	コウ オウ
凱	ガイ カイ
凲	カン ケン
凳	トウ
凴	ヒョウ
凵	カン
凶	キョウ
凷	カイ ケ
凸	トツ
凹	オウ
出	シュツ スイ
函	カン
凾	カン
刀	トウ
刁	チョウ
刂	トウ
刃	ジン ニン
刄	ジン ニン
刅	ソウ ショウ
分	ブン フン ブ
切	セツ サイ
刈	ガイ カイ
刊	カン
刋	カン セン
刎	フン
刑	ケイ
划	カ ゲ
刓	ガン グン
刔	ケツ
刕	リ レイ ライ
刖	ゲツ グチ ゴツ ゴチ カツ
列	レツ レ
刘	リュウ ル
初	ショ
刢	レイ リョウ
判	ハン バン
別	ベツ
刧	コウ ゴウ キョウ
刨	ホウ ビョウ
利	リ
刪	サン
刮	カツ
到	トウ
刱	ソウ ショウ
刲	ケイ ケ
刳	コ
刵	ジ ニ ゲイ
制	セイ
刷	サツ
券	ケン
刹	セチ セツ サツ
刺	シ
刻	コク
刼	キョウ
剃	テイ
剄	ケイ
剅	ロウ ル トウ ツ
則	ソク
剉	サ
削	サク
剋	コク
剌	ラツ
前	ゼン
剏	ソウ ショウ
剔	テキ テイ
剕	ヒ
剖	ボウ
剗	サン セン
剘	キ
剚	シ
剛	ゴウ
剜	ワン
剝	ハク
剞	キ
剟	テツ テチ タツ タチ
剠	ケイ ショウ リョウ
剡	エン セン
剣	ケン
剤	ザイ スイ セイ
剥	ハク ホク
剦	エン アン
剩	ジョウ
剪	セン
剬	タン セン セイ
剮	カ ケ
副	フク
剰	ジョウ
剱	ケン
割	カツ
剳	トウ サツ チョウ
剴	ガイ カイ
創	ソウ ショウ
剷	サン セン
剸	タン セン
剹	リク リュウ ロク キョウ ク
剽	ヒョウ
剿	ソウ ショウ
劀	カツ
劂	ケツ クチ ケイ ケ
劃	カク
劄	サツ トウ
劅	タク
劇	ゲキ
劈	ヘキ ヒャク
劉	リュウ ル
劊	カイ ケ カツ
劌	ケイ ケ
劍	ケン
劑	ザイ スイ セイ
劒	ケン
劓	ギ ゲイ
劔	ケン
劕	シツ シチ チ
劖	サン
劗	サン セン
劘	バ マ ビ ミ
劚	チャク チョウ チョク
力	リョク リキ リイ
劜	アツ エチ
功	コウ ク
加	カ
劣	レツ
劤	キン コン ロク
劥	コウ キョウ
劦	キョウ リョウ
劧	シ
助	ジョ
努	ド
劫	コウ ゴウ キョウ
劬	ク
劭	ショウ
劯	ショ
劰	バク マク
励	レイ
労	ロウ
劵	ケン
劶	コウ ク
劷	ヨウ
劸	アイ ア
効	コウ
劺	ボウ ム
劻	キョウ コウ
劼	カツ ケチ
劽	レツ レチ
劾	ガイ
勀	コク
勁	ケイ
勃	ボツ ホツ
勄	ビン
勅	チョク
勆	ロウ
勇	ユウ
勈	ヨウ
勉	ベン
勊	
勌	ケン カン
勍	ケイ
勏	ホウ ブ
勐	バウ
勑	ライ チャク チキ
勒	ロク
勔	ベン メン ビン ミン
動	ドウ
勖	キャク コク ボウ キョク
勗	キョク ボウ
勘	カン
務	ム
勛	クン
勜	オ ヨウ
勝	ショウ
勞	ロウ
募	ボ
勠	リク
勡	ヒョウ
勢	セイ ゼイ
勣	セキ シャク
勤	キン ゴン
勥	キョウ ゴウ
勦	ソウ ショウ
勧	カン ケン
勨	ヨウ ショウ
勩	エイ イ シ
勪	キャク ガク キョウ
勬	ケン
勰	キョウ
勱	バイ メ
勲	クン
勳	クン
勴	リョ ロ
勵	レイ
勶	ケツ デチ テツ
勷	ジョウ ニョウ
勸	カン ケン
勹	ホウ
勺	シャク
勻	イン
勾	コウ ク
勿	モチ ブツ ボツ
匀	イン
匁	
匂	
匃	カツ カチ カイ
包	ホウ
匆	ソウ
匇	
匈	キョウ
匊	キク コク
匋	トウ ヨウ
匌	コウ
匍	ホ
匏	ホ ホウ
匐	ホク フク
匑	キュウ ク キク コク
匓	キョウ ク キュウ
匕	ヒ
化	カ ケ
北	ホク
匘	ノウ ドウ
匙	シ
匚	ホウ
匛	キュウ グ
匜	イ タ
匝	キョウ ソウ
匞	ショウ
匟	コウ
匠	ショウ
匡	キョウ オウ
匣	コウ
匤	キャク コク
匥	ヘン
匧	キョウ
匨	ソウ
匩	キョウ
匪	ヒ
匫	コツ コチ
匬	ユ トウ ズ
匭	キ コ
匯	キ エ カイ ワイ
匰	タン
匱	キ
匲	レン
匳	レン
匵	トク トウ
匸	ケイ
匹	ヒツ
区	ク オウ コウ
医	イ
匼	アン オン コウ
匽	エン
匾	ヘン
匿	トク
區	ク オウ コウ
十	ジュウ ジッ ジュッ
卂	シン
千	セン
卅	ソウ
卆	ソツ シュツ
升	ショウ
午	ゴ
卉	キ ケ
半	ハン
卋	セイ セ ソウ
